file,hesitation_count,pause_count,speech_rate,pitch_variability,semantic_anomaly,vague_word_count,incomplete_sentence,lost_words,dbscan_cluster,dbscan_risk_label
AbeBurrows_5,0,0,3.2385388356458304,997.3823,0.2683351635932922,0,0,2,-1,At Risk
BillBuckner_15,1,1,2.682505485560589,941.2651,0.2967110276222229,0,0,3,-1,At Risk
OmarSharif_10,0,0,2.670453762759495,1079.845,0.2681209444999695,2,0,0,0,Normal
PaulinePhillips_10,0,0,3.366646309017028,808.1995,0.3048255443572998,1,0,1,-1,At Risk
RayDolby_10,0,0,2.2442363620606605,1050.5895,0.2861557602882385,1,0,0,0,Normal
TonyBennett_15,0,0,2.674300141743444,1030.8881,0.2891103029251098,0,0,1,-1,At Risk
andrewsachs_15,0,0,2.7777777777777777,1039.9951,0.3097073435783386,0,0,2,-1,At Risk
bbking_10,0,0,2.033333333333333,1084.0875,0.2971113324165344,1,0,1,0,Normal
jimmclean_10,0,0,2.311111111111111,1077.6361,0.3880536556243896,1,0,1,-1,At Risk
ralphklein_5_1,0,0,2.1956521739130435,974.38916,0.2843390703201294,0,0,0,-1,At Risk
